Date,ProductId,Profit,Sales,Margin,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,Area Code
1/1/2010,1,94,219,130,89,36,24,777,100,90,130,220,719
1/1/2010,2,68,190,107,83,39,27,623,80,80,110,190,970
1/1/2010,3,101,234,139,95,38,26,821,110,100,140,240,970
1/1/2010,13,30,100,56,44,26,14,623,30,30,50,80,303
1/1/2010,5,54,134,80,54,26,15,456,70,60,90,150,303
1/1/2010,6,53,180,108,72,55,23,558,80,80,130,210,720
1/1/2010,8,99,341,171,170,72,47,1091,110,140,160,300,970
1/1/2010,9,0,150,87,63,87,57,435,20,50,80,130,719
1/1/2010,10,33,140,80,60,47,19,336,40,50,70,120,970
1/1/2010,11,17,130,72,58,55,22,338,20,40,70,110,719
1/1/2010,12,36,140,76,64,40,19,965,40,50,70,120,303
1/1/2010,2,111,345,201,144,90,47,862,130,150,210,360,217
1/1/2010,3,87,234,139,95,52,30,608,100,100,140,240,309
1/1/2010,5,203,546,312,234,109,77,1310,260,270,370,640,309
1/1/2010,6,140,456,228,228,88,63,1459,180,260,270,530,630
1/1/2010,8,95,219,130,89,35,24,777,100,70,120,190,312
1/1/2010,9,68,190,107,83,39,27,623,60,70,90,160,630
1/1/2010,10,101,234,139,95,38,26,821,100,80,120,200,773
1/1/2010,11,53,134,80,54,27,15,456,50,40,70,110,217
1/1/2010,12,54,180,108,72,54,23,558,40,60,90,150,708
1/1/2010,1,11,45,27,18,16,5,821,20,10,30,40,319
1/1/2010,2,5,62,34,28,29,8,965,20,20,40,60,641
1/1/2010,3,12,54,31,23,19,7,623,20,20,30,50,712
1/1/2010,5,11,43,26,17,15,4,777,30,10,40,50,563
1/1/2010,6,10,43,26,17,16,4,777,30,10,40,50,563
1/1/2010,8,202,546,312,234,110,77,1310,200,200,280,480,641
1/1/2010,9,86,234,139,95,53,30,608,90,80,120,200,563
1/1/2010,11,141,456,228,228,87,63,1459,140,190,210,400,712
1/1/2010,12,175,546,301,245,126,93,1419,160,210,270,480,319
1/1/2010,2,39,190,105,85,66,32,494,40,90,100,190,636
1/1/2010,3,47,170,92,78,45,24,965,50,80,90,170,573
1/1/2010,13,-4,76,42,34,46,12,197,0,20,40,60,417
1/1/2010,5,48,123,73,50,25,14,821,70,50,90,140,573
